title,targets,authors
Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel,High Throughput Random Access via Codes on Graphs: Coded Slotted ALOHA,"Enrico Paolini,Marc P. C. Fossorier,Marco Chiani","Enrico Paolini,Gianluigi Liva,Marco Chiani"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A New Channel Coding Technique to Approach the Channel Capacity,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Mahesh Patel,A Annamalai"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Enrico Paolini,Marc P. C. Fossorier,Marco Chiani"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A more accurate one-dimensional analysis and design of irregular LDPC codes,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Masoud Ardakani,Frank R. Kschischang"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Single and Multiple Antenna Communication Systems: Performance Analysis and Joint Source-channel Coding,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Firouz Behnamfar,Steve Blostein,Lorne Campbell"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Tree Expectation Propagation for ML Decoding of LDPC Codes over the BEC,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Luis Salamanca,Pablo M. Olmos,Juan José Murillo-Fuentes,Fernando Pérez-Cruz"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Coherent continuous-phase frequency-shift keying: Parameter optimization and code design,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Shi Cheng,Matthew C. Valenti,Don J. Torrieri"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,A Novel Approach to Built an Area Efficient Architecture for Block Ldpc Codes,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","M Devika"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Forced Convergence Decoding of LDPC Codes – EXIT Chart Analysis and Combination with Node Complexity Reduction Techniques,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Ernesto Zimmermann,Wolfgang Rave,Gerhard Fettweis"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,CS image reconstruction by novel small length LDPC code,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke",""
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,An Ldpc Decoding Algorithm Utilizing Early Decisions,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke","Anton Blad,Oscar Gustafsson,Lars Wanhammar"
On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,An improved low-complexity sum-product decoding algorithm for low-density parity-check codes,"Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke",""
Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation,Summary List of Journal Papers -first Author,"Nicholas Bonello,Rong Zhang,Sheng Chen,Lajos Hanzo","Holger Rong Zhang,Harald Claussen,Lajos Haas,Hanzo,Rong Zhang,Jiaheng Wang,Zhaocheng Wang,Zhengyuan Xu,Chunming Zhao,Lajos Hanzo,Lie-Liang Yang"
Spinal codes,Compressive Coded Modulation for Seamless Rate Adaptation,"Jonathan Perry,Peter Iannucci,Kermin Fleming,Hari Balakrishnan,Devavrat Shah","Hao Cui,Chong Luo,Jun Wu,Chang Wen Chen,Feng Wu"
